,<built-in function id>,imageLink,title,year
63,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1167,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1167&action=2&DMSCALE=15&DMWIDTH=3256&DMHEIGHT=2183,"[Peu] Segle XIV: La Península Ibèrica, segons la carta nàutica anònima publicada per Nordenskiöld (Periplus, 1897)",1897
64,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1170,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1170&action=2&DMSCALE=15&DMWIDTH=3266&DMHEIGHT=2193,[Peu] Segle XV: La Península Ibèrica segons la carta nàutica de la biblioteca d'Upsala,1908
65,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1179,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1179&action=2&DMSCALE=11&DMWIDTH=3273&DMHEIGHT=4344,"[Peu] Segle XVII o XVIII. Mapa de les vegueries de Catalunya y Rosselló, editat en francés per G. Walk (primera part)",1709
66,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1164,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1164&action=2&DMSCALE=11&DMWIDTH=3272&DMHEIGHT=4389,"[Peu] Segle XVII o XVIII. Mapa de les vegueries de Catalunya y Rosselló, editat en francés per G. Walk (segona part)",1709
67,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1314,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1314&action=2&DMSCALE=15&DMWIDTH=3293&DMHEIGHT=2124,[Peu] Tarragona: fortificació marítima de mitjans del segle XVIII,1908
68,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1297,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1297&action=2&DMSCALE=15&DMWIDTH=3275&DMHEIGHT=2162,"[Peu] Vista de la ciutat de Tortosa, dibuixada en lo segle XVIII",1908
69,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1303,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1303&action=2&DMSCALE=11&DMWIDTH=4308&DMHEIGHT=3302,"[Peu] Vista de Tarragona en l'any 1811, feta des del camí de Valls. D'un gravat francés de E. Collin",1908
70,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1307,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1307&action=2&DMSCALE=15&DMWIDTH=3257&DMHEIGHT=2085,"[Peu] Vista de Tarragona, segons vingué publicada en `Atlante Español´ (any 1781)",1781
71,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1153,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1153&action=2&DMSCALE=15&DMWIDTH=3274&DMHEIGHT=2174,[Peu] Vista general de Barcelona en 1572,1572
72,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1147,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1147&action=2&DMSCALE=11&DMWIDTH=4393&DMHEIGHT=3282,[Peu] Vista panorámica del progecte d'urbanisació de Can Tunis y Prat del Llobregat y dels ports franch e industrial de Barcelona / progecte d'en Frederich Armenter,1908
